Course Name,Display Name,City,Zip,Type,Website,Booking Platform,Booking URL,Online Booking,Confidence,Notes
Darlington Golf Course,,Mahwah,,Municipal,https://golfbergencounty.com/,clubprophet,https://bergencountygolf.cps.golf/onlineresweb/search-teetime,yes,high,Pro shop (201) 327-8770 | 18 holes; Bergen County Parks owned; live CPS Club Prophet reservation engine (saw Darlington 18 tee times at $74); per-course engine darlingtongc.cps.golf | North Jersey region | Bergen County | Source sheet verification: VERIFIED
Orchard Hills Golf Course,,Paramus,,Municipal,https://golfbergencounty.com/,clubprophet,https://bergencountygolf.cps.golf/onlineresweb/search-teetime,yes,high,Pro shop (201) 447-3778 | 9 holes; Bergen County Parks owned; live CPS reservation engine; per-course orchardhillsgc.cps.golf | North Jersey region | Bergen County | Source sheet verification: VERIFIED
Overpeck Golf Course,,Teaneck,,Municipal,https://golfbergencounty.com/,clubprophet,https://bergencountygolf.cps.golf/onlineresweb/search-teetime,yes,high,Pro shop (201) 837-3020 | 18 holes; Bergen County Parks owned; live CPS reservation engine; per-course overpeckgc.cps.golf; coords approx | North Jersey region | Bergen County | Source sheet verification: VERIFIED
Rockleigh Golf Course - Red/White,,Rockleigh,,Municipal,https://golfbergencounty.com/,clubprophet,https://bergencountygolf.cps.golf/onlineresweb/search-teetime,yes,high,Pro shop (201) 768-6353 | 18-hole Red/White loop of 27-hole county facility; live CPS engine shows Rockleigh R/W 18 at $74; coords approx | North Jersey region | Bergen County | Source sheet verification: VERIFIED
Rockleigh Golf Course - Blue,,Rockleigh,,Municipal,https://golfbergencounty.com/,clubprophet,https://bergencountygolf.cps.golf/onlineresweb/search-teetime,yes,high,Pro shop (201) 768-6353 | 9-hole Blue loop of 27-hole county facility; live CPS engine shows Rockleigh Blue 9 at $30; coords approx | North Jersey region | Bergen County | Source sheet verification: VERIFIED
Soldier Hill Golf Course,,Emerson,,Municipal,https://golfbergencounty.com/,clubprophet,https://bergencountygolf.cps.golf/onlineresweb/search-teetime,yes,high,18 holes; Bergen County Parks owned; live CPS reservation engine; per-course soldierhillgc.cps.golf; coords approx | North Jersey region | Bergen County | Source sheet verification: VERIFIED
Valley Brook Golf Course,,River Vale,,Municipal,https://golfbergencounty.com/,clubprophet,https://bergencountygolf.cps.golf/onlineresweb/search-teetime,yes,high,Pro shop (201) 664-5886 | 18 holes; Bergen County Parks owned; live CPS reservation engine; per-course valleybrookgc.cps.golf | North Jersey region | Bergen County | Source sheet verification: VERIFIED
Emerson Golf Club,,Emerson,,Public,https://emersongolfcourse.com/,,,no,low,Pro shop (201) 261-1100 | 18-hole daily-fee public; Chronogolf club page shows Contact the course directly (no live booking); own site neglected; phone booking only | North Jersey region | Bergen County | Source sheet verification: NO_ONLINE
Old Tappan Golf Course,,Old Tappan,,Municipal,https://www.oldtappangolf.com/,chronogolf,https://www.chronogolf.com/club/old-tappan-golf-course,yes,high,Pro shop (201) 767-1199 | 9-hole borough-owned public; live Chronogolf Reserve now pay later (saw $55 tee times); opens May closes December | North Jersey region | Bergen County | Source sheet verification: VERIFIED
River Vale Country Club,,River Vale,,Semi-Private,https://www.rivervalecc.com/,teeitup,https://river-vale-country-club.book.teeitup.golf,yes,high,Pro shop (201) 391-2300 | 18 holes par 72; semi-private daily-fee; own site embeds live TeeItUp booking widget | North Jersey region | Bergen County | Source sheet verification: VERIFIED
