Course Name,Display Name,City,Zip,Type,Website,Booking Platform,Booking URL,Online Booking,Confidence,Notes
Star Valley View Golf Course (Valli Vu),,Afton,,Municipal,https://www.aftonwyoming.gov/star_valley_view_golf_course/index.php,foreup,https://foreupsoftware.com/index.php/booking/18864/508#/teetimes,yes,high,"Pro shop (307) 885-3338 | 18 holes, Johnny Miller signature design, owned by Town of Afton. Season Apr 1-Nov 15. 6,010 yds on 92 acres. | Southwest Wyoming region | ForeUp course 18864 schedule 508; verified 50 slots at +2. | Source sheet verification: VERIFIED"
Targhee Village Golf Course,,Alta,,Public,https://www.targheegolf.com/,foreup,https://foreupsoftware.com/index.php/booking/21737/8725#teetimes,yes,high,"Pro shop (307) 699-5007 | 9 holes in Teton Valley on the WY side of Teton Pass; short summer season. Under new operations, 2026 soft opening late March. | Jackson Hole & Teton Valley region | ForeUp course 21737 schedule 8725; verified 35 slots at +2. | Source sheet verification: VERIFIED"
Midway Golf Club,,Basin,,Semi-Private,https://midwaygolfclub.com/,,,no,medium,"Pro shop (307) 568-2255 | 9 holes located midway between Basin and Greybull, serving both towns. No online tee sheet located; site repeatedly rate-limited. | Northwest / Big Horn Basin region | No online tee sheet found; call to book. | Source sheet verification: UNVERIFIED"
Buffalo Golf Club,,Buffalo,,Municipal,https://www.buffalowygolf.com/,other:eagleclubsystems,https://player.eagleclubsystems.online/#/tee-slot?dbname=buffalogc20221201,yes,high,"Pro shop (307) 684-5266 | 18 holes, opened 1934 at the foot of the Bighorns. Golf Digest 4-star; named Wyoming's best municipal course 2009. Five tee sets. | Northeast / Powder River region | Eagle Club Systems tenant buffalogc20221201; live sheet, address-confirmed Buffalo WY. Platform not implemented, so this is a link-only card. | Source sheet verification: VERIFIED"
Casper Country Club,,Casper,,Private,https://www.caspercountryclub.com/,,,no,high,"Pro shop (307) 265-0767 | 18 holes, opened 1935 at the base of Casper Mountain. Members and guests only. | Central Wyoming region | Private club, members only. | Source sheet verification: PRIVATE"
Casper Municipal Golf Course,,Casper,,Municipal,https://www.casperwy.gov/explore/casper_municipal_golf_course/index.php,clubcaddie,https://apimanager-cc18.clubcaddie.com/webapi/view/iffdabab,yes,high,"Pro shop (307) 233-6620 | 27 holes in three nines: Park, Highlands and Links. City of Casper owned. Pro shop (307) 233-6615. Booking URL corrected: city .gov page is an interstitial that links out to this Club Caddie sheet. | Central Wyoming region | Club Caddie shard cc18 view iffdabab, self-identifies as City of Casper; verified 60 slots at +3 and 72 at +6. Roughly a 7-day window. | Source sheet verification: UPDATED"
Paradise Valley Country Club,,Casper,,Private,https://www.paradisevalleyccwyo.com/,,,no,high,"Pro shop (307) 234-9146 | Private member club on Casper's west side; golf, dining and events. 70 Magnolia St. | Central Wyoming region | Private club, members only. | Source sheet verification: PRIVATE"
Three Crowns Golf Club,,Casper,,Public,https://www.threecrownsgolfclub.com/,chronogolf,https://www.chronogolf.com/club/three-crowns-golf-club,yes,high,"Pro shop (307) 472-7696 | 18-hole public course built on the reclaimed Amoco/BP refinery site along the North Platte. Course site was rate-limiting; link target not confirmed. | Central Wyoming region | Chronogolf club 15498; sheet said UNVERIFIED, verified 23 slots at +2. | Source sheet verification: UNVERIFIED"
Airport Golf Club,,Cheyenne,,Municipal,https://airportgolfclub.com/,chronogolf,https://www.chronogolf.com/club/airport-golf-course-wyoming,yes,high,"Pro shop (307) 638-3700 | 18 holes, City of Cheyenne, next to Cheyenne Regional Airport. Operated jointly with Kingham Prairie View. | Southeast / Front Range region | Chronogolf club 15458; verified 66/64 slots at +2/+7. | Source sheet verification: VERIFIED"
Cheyenne Country Club,,Cheyenne,,Private,https://cheyennecountryclub.com/,,,no,high,"Pro shop (307) 633-5155 | 18 holes, established 1917. Unusual routing of six par 5s, six par 4s and six par 3s. 800 Stinner Rd. | Southeast / Front Range region | Private club, members only. | Source sheet verification: PRIVATE"
